pool_address,pool_name,pool_symbol,token_symbol,token_address,decimals
0x39caf13a104ff567f71fd2a4c68c026fdb6e740b,yvCurve-Aave 0.3.5,yvCurve-Aave,a3CRV,0xfd2a8fa60abd58efe3eee34dd494cd491dc14900,18
0x054af22e1519b020516d72d749221c24756385c9,yvCurve-HUSD 0.3.5,yvCurve-HUSD,husd3CRV,0x5b5cfe992adac0c9d48e05854b2d91c73a003858,18
0x25212df29073fffa7a67399acefc2dd75a831a1a,yvCurve-EURS 0.3.5,yvCurve-EURS,eursCRV,0x194ebd173f6cdace046c53eacce9b953f28411d1,18
0x671a912c10bba0cfa74cfc2d6fba9ba1ed9530b2,yvLINK 0.4.2,yvLINK,LINK,0x514910771af9ca656af840dff83e8264ecf986ca,18
0x873fb544277fd7b977b196a826459a69e27ea4ea,yvRAI 0.4.2,yvRAI,RAI,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,18
0xa258c4606ca8206d8aa700ce2143d7db854d168c,yvWETH 0.4.2,yvWETH,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18
0x3d980e50508cfd41a13837a60149927a11c03731,yvCurve-triCrypto 0.4.2,yvCurve-triCrypto,crvTricrypto,0xca3d75ac011bf5ad07a98d02f18225f9bd9a6bdf,18
0x80bbee2fa460da291e796b9045e93d19ef948c6a,yvCurve-Pax 0.3.5,yvCurve-Pax,ypaxCrv,0xd905e2eaebe188fc92179b6350807d8bd91db0d8,18
0x28a5b95c101df3ded0c0d9074db80c438774b6a9,yvCurve-USDT 0.3.5,yvCurve-USDT,cDAI+cUSDC+USDT,0x9fc689ccada600b6df723d9e47d84d76664a1f23,18
0x3d27705c64213a5dcd9d26880c1bcfa72d5b6b0e,yvCurve-USDK 0.3.5,yvCurve-USDK,usdk3CRV,0x97e2768e8e73511ca874545dc5ff8067eb19b787,18
0xc116df49c02c5fd147de25baa105322ebf26bd97,yvCurve-RSV 0.3.5,yvCurve-RSV,rsv3CRV,0xc2ee6b0334c261ed60c72f6054450b61b8f18e35,18
0xda816459f1ab5631232fe5e97a05bbbb94970c95,yvDAI 0.4.3,yvDAI,DAI,0x6b175474e89094c44da98b954eedeac495271d0f,18
0xe537b5cc158eb71037d4125bdd7538421981e6aa,yvCurve-3Crypto 0.4.3,yvCurve-3Crypto,crv3crypto,0xc4ad29ba4b3c580e6d59105fff484999997675ff,18
0xd9788f3931ede4d5018184e198699dc6d66c1915,yvAAVE 0.4.3,yvAAVE,AAVE,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,18
0x4a3fe75762017db0ed73a71c9a06db7768db5e66,yvCOMP 0.4.3,yvCOMP,COMP,0xc00e94cb662c3520282e6f5717214004a7f26888,18
0x6d765cbe5bc922694afe112c140b8878b9fb0390,yvSUSHI 0.4.3,yvSUSHI,SUSHI,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,18
0xfd0877d9095789caf24c98f7cce092fa8e120775,yvTUSD 0.4.3,yvTUSD,TUSD,0x0000000000085d4780b73119b644ae5ecd22b376,18
0x0d4ea8536f9a13e4fba16042a46c30f092b06aa5,yvCurve-EURT 0.4.3,yvCurve-EURT,EURT-f,0xfd5db7463a3ab53fd211b4af195c5bccc1a03890,18
